CUSTOMER_ID,GENDER,AGE,ANNUAL_INCOME,SPENDING_SCORE
1,Female,22,15,73
2,Male,24,16,88
3,Female,21,18,91
4,Male,23,17,79
5,Female,25,19,82
6,Male,28,20,75
7,Female,20,22,86
8,Male,26,21,77
9,Female,29,23,92
10,Male,31,24,68
11,Female,22,25,84
12,Male,24,26,71
13,Female,27,28,95
14,Male,25,29,66
15,Female,23,31,88
16,Male,30,32,74
17,Female,19,34,91
18,Male,28,35,83
19,Female,26,37,77
20,Male,32,39,69
21,Female,21,36,85
22,Male,29,33,72
23,Female,24,30,90
24,Male,27,27,78
25,Female,22,38,94
26,Male,33,40,67
27,Female,25,19,86
28,Male,28,22,80
29,Female,23,28,93
30,Male,26,35,71
31,Female,20,40,89
32,Male,31,38,76
33,Female,28,33,82
34,Male,24,30,88
35,Female,22,25,95
36,Male,29,21,73
37,Female,27,36,84
38,Male,25,29,79
39,Female,23,17,91
40,Male,30,23,68
41,Female,32,75,72
42,Male,28,76,85
43,Female,35,78,78
44,Male,30,80,91
45,Female,27,82,83
46,Male,33,85,76
47,Female,29,88,88
48,Male,36,90,80
49,Female,31,92,74
50,Male,34,95,92
51,Female,26,97,86
52,Male,38,100,79
53,Female,33,103,83
54,Male,29,105,91
55,Female,35,108,77
56,Male,31,110,87
57,Female,28,112,82
58,Male,37,115,74
59,Female,32,118,89
60,Male,30,120,76
61,Female,27,122,85
62,Male,34,125,91
63,Female,36,127,80
64,Male,29,130,84
65,Female,31,132,78
66,Male,33,135,92
67,Female,28,137,86
68,Male,35,73,75
69,Female,30,96,88
70,Male,32,111,82
71,Female,27,124,90
72,Male,38,86,77
73,Female,33,99,83
74,Male,29,113,91
75,Female,35,128,79
76,Male,31,76,85
77,Female,28,104,88
78,Male,36,119,73
79,Female,32,133,87
80,Male,34,89,82
81,Female,45,15,12
82,Male,52,16,8
83,Female,48,18,5
84,Male,55,20,18
85,Female,43,22,11
86,Male,60,24,7
87,Female,50,26,14
88,Male,57,28,9
89,Female,46,30,16
90,Male,63,32,6
91,Female,49,34,13
92,Male,58,36,10
93,Female,44,38,19
94,Male,65,40,5
95,Female,51,15,17
96,Male,54,17,8
97,Female,47,19,12
98,Male,61,21,6
99,Female,53,23,15
100,Male,59,25,9
101,Female,42,27,18
102,Male,64,29,7
103,Female,48,31,11
104,Male,56,33,14
105,Female,45,35,16
106,Male,62,37,8
107,Female,50,39,5
108,Male,55,16,13
109,Female,46,20,19
110,Male,60,24,10
111,Female,52,28,6
112,Male,57,32,17
113,Female,43,36,12
114,Male,65,40,8
115,Female,49,22,14
116,Male,58,26,9
117,Female,44,30,16
118,Male,63,34,5
119,Female,51,38,11
120,Male,54,18,15
121,Female,55,75,20
122,Male,62,78,15
123,Female,58,82,28
124,Male,65,86,12
125,Female,52,90,24
126,Male,70,94,8
127,Female,56,98,31
128,Male,60,102,18
129,Female,54,106,22
130,Male,68,110,11
131,Female,57,114,27
132,Male,63,118,16
133,Female,51,122,33
134,Male,66,126,9
135,Female,59,130,25
136,Male,64,134,14
137,Female,53,137,30
138,Male,61,80,19
139,Female,58,88,23
140,Male,65,96,13
141,Female,55,104,28
142,Male,70,112,7
143,Female,52,120,32
144,Male,67,128,11
145,Female,57,136,22
146,Male,62,84,17
147,Female,54,92,26
148,Male,63,100,13
149,Female,56,108,30
150,Male,69,116,9
151,Female,51,124,35
152,Male,64,132,14
153,Female,58,76,20
154,Male,66,96,12
155,Female,53,116,28
156,Male,61,128,10
157,Female,59,86,25
158,Male,67,106,16
159,Female,55,98,22
160,Male,70,118,8
161,Female,38,50,55
162,Male,42,52,48
163,Female,35,54,61
164,Male,45,56,44
165,Female,40,58,58
166,Male,48,60,42
167,Female,37,62,64
168,Male,44,64,51
169,Female,41,66,57
170,Male,47,68,46
171,Female,39,50,62
172,Male,43,53,49
173,Female,36,55,59
174,Male,46,57,45
175,Female,40,59,55
176,Male,49,61,43
177,Female,38,63,63
178,Male,45,65,50
179,Female,42,67,58
180,Male,50,55,47
181,Female,37,51,60
182,Male,44,53,52
183,Female,41,57,56
184,Male,47,61,44
185,Female,39,65,62
186,Male,46,69,48
187,Female,35,52,65
188,Male,43,56,51
189,Female,40,60,57
190,Male,48,64,43
191,Female,38,68,61
192,Male,45,50,49
193,Female,42,54,55
194,Male,49,58,45
195,Female,37,62,63
196,Male,44,66,52
197,Female,41,70,58
198,Male,50,54,46
199,Female,36,58,60
200,Male,46,62,50
